職缺名稱,公司名稱,工作地點,薪資,學歷要求,工作性質,遠端工作,更新日期,應徵人數,工作描述,產業類別,職缺連結,公司連結
RPA 軟體開發工程師,鑄立科技股份有限公司,台北市中山區 復興北路164號12樓之1,面議,大學、碩士,不限,否,2025-09-09,4,您即將成為 [[[RPA]]] 開發團隊的一員，與專案經理及開發團隊協作完成機器人自動化專案，共同探討解決方案。在這過程中，您將接觸到各種企業工作流程，更有機會擔任企業培訓的技術指導員！  如果您具備以下特質並對這份工作感興趣，請即與我們聯繫！期待與您一起合,電腦軟體服務業,https://www.104.com.tw/job/7jy3l,https://www.104.com.tw/company/1a2x6blylu
RPA 顧問（RPA Consultant / Senior RPA Consultant)-F203,精誠資訊股份有限公司,台北市內湖區 瑞光路318號,面議,大學、碩士,兼職,否,2026-03-09,0,1. 流程診斷與需求訪談：與客戶業務單位、IT、內控/稽核訪談，完成流程盤點、痛點分析、適用性判斷（automation feasibility）。  2. 自動化方案設計：產出 To-Be 流程、[[[RPA]]] 解決方案、例外處理策略、權限與稽核設計、,電腦系統整合服務業,https://www.104.com.tw/job/8xrxf,https://www.104.com.tw/company/18pcqfps
RPA系統開發維護工程師,鴻海精密工業股份有限公司,新北市土城區,面議,大學、碩士、博士,兼職,否,2026-03-05,5,1.負責[[[RPA]]]機器人產品專案的管理、配置、實施工作，參與產品功能設計及開發； 2.負責完成[[[RPA]]]產品的現場POC測試工作，與客戶的溝通交流等； 3.完成與工作相關的技術文檔編寫、技術培訓等工作 4.主管交辦事項,消費性電子產品製造業,https://www.104.com.tw/job/88ufc,https://www.104.com.tw/company/233rv1s
RPA Solution Sales Specialist,廣達集團_雲達科技股份有限公司,桃園市龜山區 文化二路211號1樓,面議,大學、碩士,不限,否,2026-03-09,4,Objectives  This job role tends to work at QCT Sales division responsible for [[[RPA]]] solution selling to support [[[RPA]]] business,電腦軟體服務業,https://www.104.com.tw/job/8qd3z,https://www.104.com.tw/company/1a2x6bihks
RPA工程師,數辰創藝科技股份有限公司,台北市松山區 敦化南路一段2號14樓,"800,000 ~ 960,000 元",國中以下、高中職、專科、大學、碩士、博士,不限,否,2026-02-04,2,"作為 [[[RPA]]] 工程師， 您將負責： 設計、開發並維護企業內外部流程自動化方案 ([[[RPA]]] / iPaaS / API 串接)。 與 AI 模組 (ChatGPT、TeamSync AI Agents、LLM) 整合，打造智慧化工作流程。 分",電腦軟體服務業,https://www.104.com.tw/job/8u5i7,https://www.104.com.tw/company/1a2x6bms0j
(擴編) RPA開發工程師,台灣富士軟片資訊股份有限公司,台北市松山區 敦化北路88號7樓,"面議（底薪 38,000 起）",大學、碩士、博士,兼職,否,2026-01-30,3,無開發經驗可!! 歡迎新鮮人投遞履歷!!  [[[RPA]]]全名為Robotic Process Automation(自動化流程機器人)，意即透過自動化流程減去重複性高且繁雜的工作事項，降低人力與時間成本，是目前各大企業中大量使用的流程管理解決方案。台灣,電腦系統整合服務業,https://www.104.com.tw/job/8996d,https://www.104.com.tw/company/1mpl4c0
RPA專案管理師,普惠食品企業股份有限公司,苗栗縣竹南鎮 國泰路13號,面議,大學、碩士、博士,不限,否,2025-04-28,1,1.設計電腦應用軟體及電腦操作系統。 2.維修與更新電腦應用軟體及電腦操作系統。 3.安裝電腦及執行電腦硬體診斷。 4.提供資訊相關的諮詢與專業建議。 營運管理、系統整合、ERP 專案師  歡迎有ERP或AI相關領域知識的,其他相關製造業,https://www.104.com.tw/job/8n4u9,https://www.104.com.tw/company/5zfz8gg
軟體開發專員(RPA),億光電子工業股份有限公司,新北市樹林區 中華路6-8號,面議,大學、碩士,兼職,否,2026-03-09,3,1.負責[[[RPA]]]需求訪談、專案管理、流程開發、測試、上線 2.系統設計開發與技術文件製作、教育訓練 3.系統管理、維運與效能調整 4.配合主管交辦事項,光電產業,https://www.104.com.tw/job/8dtx8,https://www.104.com.tw/company/fuu0th4
AI 流程機器人(RPA)及數位工具研發管理顧問(顧問~經理)-SRT-台北,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,台北市信義區 松仁路100號27樓,面議,大學、碩士,兼職,否,2026-03-04,7,1.協助客戶進行流程自動化可行性評估，並提供可能的改善建議 2.協助進行 Uipath [[[RPA]]]/AA 流程自動化腳本程式開發。 3.協助客戶應用新興數位科技([[[RPA]]]流程自動化機器人)進行營運改善改善、撰寫自動化提案及效益評估。 4.協助客戶流程機,工商顧問服務業,https://www.104.com.tw/job/8k4kb,https://www.104.com.tw/company/1a2x6bmker
【顧問服務部】顧問 （RPA自動化/Low Code網頁APP開發),先行智庫股份有限公司,台北市中正區 新生南路一段168-8號,面議,大學,不限,否,2026-03-05,5,，執行流程訪談、痛點分析與現況診斷，建立As-Is / To-Be流程模型，設計可落地的優化方案與推動路徑。 3. AI能力建構與組織賦能：協助企業導入標準化AI課程與數位轉型訓練體系，設計實務導向工作坊與應用實作訓練。 4. 具備[[[RPA]]]自動化流程,工商顧問服務業,https://www.104.com.tw/job/7pxzx,https://www.104.com.tw/company/1a2x6bk5xm
